ID_Detalle,ID_Venta,ID_Producto,Cantidad,Precio_Unitario,Descuento,Subtotal,Impuesto,Total,Fecha_Registro
DET00001,VENT0001,PROD0144,4,16.57,1.93,66.28,2.04,66.39,2024-09-11 08:55:30.778655
DET00002,VENT0001,PROD0395,1,16.55,3.35,16.55,3.35,16.55,2024-09-11 08:55:30.778655
DET00003,VENT0001,PROD0310,3,16.68,3.61,50.04,8.79,55.22,2024-09-11 08:55:30.778655
DET00004,VENT0001,PROD0107,4,25.24,2.06,100.96,7.24,106.14,2024-09-11 08:55:30.778655
DET00005,VENT0001,PROD0396,1,15.93,0.74,15.93,2.94,18.13,2024-09-11 08:55:30.778655
DET00006,VENT0002,PROD0193,1,23.32,1.33,23.32,3.4,25.39,2023-06-16 13:26:22.927778
DET00007,VENT0002,PROD0205,2,14.21,2.63,28.42,3.76,29.55,2023-06-16 13:26:22.927778
DET00008,VENT0002,PROD0357,4,18.04,2.36,72.16,8.24,78.04,2023-06-16 13:26:22.927778
DET00009,VENT0002,PROD0352,2,14.33,2.88,28.66,3.12,28.9,2023-06-16 13:26:22.927778
DET00010,VENT0002,PROD0152,2,17.48,1.2,34.96,4.58,38.34,2023-06-16 13:26:22.927778
DET00011,VENT0002,PROD0166,3,20.69,3.91,62.07,4.23,62.39,2023-06-16 13:26:22.927778
DET00012,VENT0002,PROD0313,4,19.42,4.46,77.68,9.16,82.38,2023-06-16 13:26:22.927778
DET00013,VENT0002,PROD0138,2,27.21,3.96,54.42,3.38,53.84,2023-06-16 13:26:22.927778
DET00014,VENT0003,PROD0215,1,20.81,1.91,20.81,0.91,19.81,2025-05-02 09:56:09.547488
DET00015,VENT0003,PROD0070,4,23.87,3.93,95.48,11.64,103.19,2025-05-02 09:56:09.547488
DET00016,VENT0003,PROD0440,2,24.43,2.94,48.86,2.7,48.62,2025-05-02 09:56:09.547488
DET00017,VENT0003,PROD0323,5,29.9,0.93,149.5,9.8,158.37,2025-05-02 09:56:09.547488
DET00018,VENT0003,PROD0068,4,24.04,4.81,96.16,3.52,94.87,2025-05-02 09:56:09.547488
DET00019,VENT0003,PROD0332,1,24.11,1.57,24.11,1.7,24.24,2025-05-02 09:56:09.547488
DET00020,VENT0003,PROD0430,3,13.28,4.64,39.84,9.12,44.32,2025-05-02 09:56:09.547488
DET00021,VENT0003,PROD0346,1,23.28,4.61,23.28,1.97,20.64,2025-05-02 09:56:09.547488
DET00022,VENT0003,PROD0011,3,17.87,4.88,53.61,3.18,51.91,2025-05-02 09:56:09.547488
DET00023,VENT0004,PROD0201,2,19.21,4.5,38.42,3.86,37.78,2024-10-03 18:56:16.941313
DET00024,VENT0004,PROD0053,2,29.47,0.23,58.94,1.12,59.83,2024-10-03 18:56:16.941313
DET00025,VENT0005,PROD0233,4,13.07,1.1,52.28,8.32,59.5,2023-11-12 02:46:07.731933
DET00026,VENT0005,PROD0277,4,13.49,3.52,53.96,9.16,59.6,2023-11-12 02:46:07.731933
DET00027,VENT0005,PROD0363,1,23.3,2.08,23.3,1.47,22.69,2023-11-12 02:46:07.731933
DET00028,VENT0005,PROD0024,4,26.86,2.33,107.44,4.72,109.83,2023-11-12 02:46:07.731933
DET00029,VENT0005,PROD0356,4,24.82,3.25,99.28,7.6,103.63,2023-11-12 02:46:07.731933
DET00030,VENT0005,PROD0328,1,24.78,4.6,24.78,1.9,22.08,2023-11-12 02:46:07.731933
DET00031,VENT0005,PROD0371,3,15.7,0.71,47.1,3.66,50.05,2023-11-12 02:46:07.731933
DET00032,VENT0005,PROD0152,2,17.48,1.35,34.96,4.58,38.19,2023-11-12 02:46:07.731933
DET00033,VENT0006,PROD0188,5,28.07,2.16,140.35,7.55,145.74,2024-10-31 14:45:51.080243
DET00034,VENT0007,PROD0407,1,25.79,0.98,25.79,2.37,27.18,2024-03-08 21:58:44.504241
DET00035,VENT0007,PROD0490,3,21.09,1.5,63.27,6.33,68.1,2024-03-08 21:58:44.504241
DET00036,VENT0008,PROD0495,3,19.38,4.66,58.14,7.65,61.13,2024-12-31 10:29:54.069565
DET00037,VENT0008,PROD0338,3,23.64,4.64,70.92,6.27,72.55,2024-12-31 10:29:54.069565
DET00038,VENT0008,PROD0440,5,24.43,4.15,122.15,6.75,124.75,2024-12-31 10:29:54.069565
DET00039,VENT0008,PROD0337,3,21.45,4.65,64.35,5.85,65.55,2024-12-31 10:29:54.069565
DET00040,VENT0009,PROD0336,3,16.1,4.13,48.3,1.92,46.09,2024-01-18 09:03:58.582979
DET00041,VENT0009,PROD0149,4,27.42,1.68,109.68,8.36,116.36,2024-01-18 09:03:58.582979
DET00042,VENT0010,PROD0329,4,18.33,1.9,73.32,9.12,80.54,2025-03-20 21:18:34.059447
DET00043,VENT0010,PROD0190,5,23.79,3.28,118.95,16.5,132.17,2025-03-20 21:18:34.059447
DET00044,VENT0010,PROD0480,4,17.3,4.21,69.2,5.4,70.39,2025-03-20 21:18:34.059447
DET00045,VENT0010,PROD0053,1,29.47,2.9,29.47,0.56,27.13,2025-03-20 21:18:34.059447
DET00046,VENT0010,PROD0271,1,16.73,4.76,16.73,1.37,13.34,2025-03-20 21:18:34.059447
DET00047,VENT0011,PROD0304,5,23.35,2.68,116.75,6.8,120.87,2025-01-29 04:40:07.892120
DET00048,VENT0011,PROD0063,2,16.6,2.51,33.2,5.22,35.91,2025-01-29 04:40:07.892120
DET00049,VENT0011,PROD0040,3,19.15,3.04,57.45,6.99,61.4,2025-01-29 04:40:07.892120
DET00050,VENT0011,PROD0477,5,27.14,0.88,135.7,9.6,144.42,2025-01-29 04:40:07.892120
DET00051,VENT0011,PROD0212,4,17.92,2.89,71.68,12.0,80.79,2025-01-29 04:40:07.892120
DET00052,VENT0011,PROD0125,1,26.23,2.15,26.23,1.85,25.93,2025-01-29 04:40:07.892120
